거래일자,상호명,카테고리,금액,구분,설명
2026-07-01,회사 급여,급여,3200000,수입,7월 월급
2026-07-02,행복주택 관리사무소,주거비,620000,지출,월세 및 관리비
2026-07-03,우리동네마트,식비,58400,지출,주간 장보기
2026-07-04,티머니 교통카드,교통,55000,지출,교통카드 충전
2026-07-06,스타벅스 강남점,카페,6800,지출,아메리카노와 샌드위치
2026-07-08,쿠팡,생활용품,32900,지출,세제와 생활용품
2026-07-10,넷플릭스,구독,13500,지출,월간 구독료
2026-07-12,동네 김밥집,식비,9500,지출,점심 식사
2026-07-15,교보문고,문화생활,24800,지출,책 구매
2026-07-19,한강 자전거 대여,여가,12000,지출,주말 여가
2026-07-23,우리동네마트,식비,47600,지출,저녁 장보기
2026-07-28,병원 약국,의료,18200,지출,감기 진료 및 약
2026-08-01,회사 급여,급여,3200000,수입,8월 월급
2026-08-02,행복주택 관리사무소,주거비,620000,지출,월세 및 관리비
2026-08-03,우리동네마트,식비,63200,지출,주간 장보기
2026-08-04,티머니 교통카드,교통,55000,지출,교통카드 충전
2026-08-06,스타벅스 강남점,카페,7200,지출,커피와 간식
2026-08-09,배달의민족,식비,28600,지출,저녁 배달
2026-08-10,넷플릭스,구독,13500,지출,월간 구독료
2026-08-14,쿠팡,생활용품,41700,지출,주방용품 구매
2026-08-16,롯데시네마,문화생활,30000,지출,영화 관람
2026-08-20,우리동네마트,식비,52800,지출,주간 장보기
2026-08-25,택시,교통,16400,지출,늦은 귀가 택시
2026-09-01,회사 급여,급여,3200000,수입,9월 월급
2026-09-02,행복주택 관리사무소,주거비,620000,지출,월세 및 관리비
2026-09-03,우리동네마트,식비,71100,지출,주간 장보기
2026-09-04,티머니 교통카드,교통,55000,지출,교통카드 충전
2026-09-06,스타벅스 강남점,카페,6400,지출,커피
2026-09-08,배달의민족,식비,35400,지출,저녁 배달
2026-09-10,넷플릭스,구독,13500,지출,월간 구독료
2026-09-12,올리브영,생활용품,38900,지출,생활용품 구매
2026-09-15,동네 김밥집,식비,10500,지출,점심 식사
2026-09-18,택시,교통,14200,지출,저녁 약속 귀가
2026-09-21,파리바게뜨,카페,8900,지출,빵과 음료
2026-09-23,우리동네마트,식비,49300,지출,주간 장보기
